Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,1999,10828,279040238,10.46
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2000,10801,282171936,10.4
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2001,11348,284968955,10.75
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2002,11829,287625193,11.01
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2003,11920,290107933,10.85
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2004,11624,292805298,11.08
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2005,12352,295516599,11.04
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2006,12791,298379912,11.16
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2007,12632,301231207,11.49
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2008,12179,304093966,11.85
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2009,11493,306771529,12.03
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2010,11078,308747508,12.43
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2011,11068,311663358,12.68
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2012,11622,313998379,12.93
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2013,11208,316204908,13.01
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2014,11008,318563456,13.44
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,2015,12979,320896618,13.77
Both Sexes,All Races,United States,Both,All Ages,1999,2015,Homicide,,604878,5112786993,11.83
