"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","1999","16599","279040238","5.95"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2000","16586","282171936","5.88"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2001","16869","284968955","5.92"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2002","17108","287625193","5.95"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2003","16907","290107933","5.83"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2004","16750","292805298","5.72"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2005","17002","295516599","5.75"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2006","16883","298379912","5.66"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2007","17352","301231207","5.76"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2008","18223","304093966","5.99"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2009","18735","306771529","6.11"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2010","19392","308747508","6.28"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2011","19990","311663358","6.41"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2012","20666","313998379","6.58"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2013","21175","316204908","6.7"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2014","21386","318563456","6.71"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","2015","22018","320896618","6.86"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Suicide Firearm","","313641","5112786993","6.13"
