"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","1999","28874","279040238","10.35"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2000","28663","282171936","10.16"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2001","29573","284968955","10.38"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2002","30242","287625193","10.51"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2003","30136","290107933","10.39"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2004","29569","292805298","10.1"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2005","30694","295516599","10.39"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2006","30896","298379912","10.35"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2007","31224","301231207","10.37"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2008","31593","304093966","10.39"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2009","31347","306771529","10.22"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2010","31672","308747508","10.26"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2011","32351","311663358","10.38"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2012","33563","313998379","10.69"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2013","33636","316204908","10.64"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2014","33594","318563456","10.55"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2015","36252","320896618","11.3"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","","533879","5112786993","10.44"
